,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.9166666666666667
1,0.0,0.0,0.3333333333333333,0.25,0.5,0.21666666666666665,0.9166666666666666
2,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.9621212121212122
3,0.0,0.0,0.3333333333333333,0.5,0.75,0.31666666666666665,0.7424242424242424
4,0.0,0.0,0.0,0.25,0.25,0.1,0.25
5,0.0,0.0,0.3333333333333333,0.25,0.5,0.21666666666666665,0.49242424242424243
6,0.0,0.5,0.3333333333333333,0.25,0.5,0.31666666666666665,0.49242424242424243
7,0.0,0.0,0.3333333333333333,0.25,0.5,0.21666666666666665,0.49242424242424243
8,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.5
9,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.5
10,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.5
