,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.9772727272727273
1,1.0,0.5,0.6666666666666666,0.75,0.75,0.7333333333333333,0.9772727272727273
2,0.0,0.5,0.6666666666666666,0.5,0.5,0.4333333333333333,0.5
3,0.0,0.5,0.6666666666666666,0.75,0.75,0.5333333333333333,0.75
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.6742424242424243
6,0.0,0.0,0.0,0.0,0.25,0.05,0.6893939393939394
7,0.0,0.0,0.0,0.25,0.25,0.1,0.7121212121212122
8,0.0,0.0,0.3333333333333333,0.25,0.5,0.21666666666666665,0.7272727272727273
9,0.0,0.0,0.3333333333333333,0.5,0.75,0.31666666666666665,0.7424242424242424
10,0.0,0.0,0.3333333333333333,0.5,0.75,0.31666666666666665,0.7424242424242424
