,PR@1,PR@2,PR@3,PR@4,PR@5,PR@avg,Acc
0,1.0,1.0,0.6666666666666666,0.5,0.75,0.7833333333333333,0.9772727272727273
1,1.0,0.5,0.6666666666666666,0.5,0.75,0.6833333333333333,0.9696969696969697
2,0.0,0.0,0.3333333333333333,0.5,0.75,0.31666666666666665,0.7424242424242424
3,0.0,0.0,0.3333333333333333,0.5,0.5,0.26666666666666666,0.5
4,1.0,1.0,1.0,0.75,0.75,0.9,0.75
5,0.0,0.0,0.0,0.0,0.0,0.0,0.23484848484848486
6,0.0,0.0,0.0,0.0,0.25,0.05,0.24242424242424243
7,0.0,0.0,0.0,0.0,0.25,0.05,0.24242424242424243
8,0.0,0.0,0.3333333333333333,0.25,0.25,0.16666666666666666,0.25
9,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
10,0.0,0.5,0.3333333333333333,0.25,0.25,0.26666666666666666,0.25
